Pavardė     Vardas      ND1  ND2  ND3  ND4  ND5  Egzaminas
Pavardė     Tomas       2    8    8    4    7    9
Pavardė1    Jonas       6    9    9    6    6    6
Pavardė2    Povilas     4    3    6    8    2    8
Pavardė3    Paulius     1    2    9    7    4    1
Pavardė4    Žygimantas  2    2    1    3    8    8
Pavardė5    Urtė        3    5    7    5    1    1
Pavardė6    Emilija     3    9    7    3    4    6
Pavardė7    Klaudijus   8    7    4    1    6    6
Pavardė8    Viktorija   5    5    8    8    1    9
Pavardė9    Emilis      1    3    7    8    4    1
Pavardė10   Goda        1    8    2    4    3    8
Pavardė11   Mantas      1    2    7    2    9    5
Pavardė12   Tautvydas   2    3    3    1    9    4
Pavardė13   Aleksandras 9    3    7    7    6    2
Pavardė14   Tomas       3    4    5    9    8    6
Pavardė15   Gabija      5    4    1    9    8    6
Pavardė16   Austėja     7    3    3    2    3    6
Pavardė17   Giedrius    4    8    2    8    7    9
Pavardė18   Giedrė      8    4    5    1    3    3
Pavardė19   Vladas      5    6    5    5    7    6
Pavardė20   Norbertas   5    6    6    7    6    9
Pavardė21   Vytautas    8    9    9    1    6    3
Pavardė22   Loreta      7    8    3    8    1    1
Pavardė23   Kristupas   6    7    7    4    5    1
Pavardė24   Lina        1    1    6    4    1    2
Pavardė25   Ona         4    9    4    1    6    8
Pavardė26   Irena       6    1    7    3    7    7
Pavardė27   Renata      9    5    1    8    2    4
Pavardė28   Ovidijus    1    6    9    5    6    3
Pavardė29   Matas       9    7    5    6    8    9
