Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  EGZ  
Vardas1                       Pavardė1                     9    8    6    9    5    5    
Vardas2                       Pavardė2                     3    1    9    8    9    5    
Vardas3                       Pavardė3                     4    5    2    1    9    1    
Vardas4                       Pavardė4                     10   9    5    10   6    2    
Vardas5                       Pavardė5                     4    9    3    6    5    5    
Vardas6                       Pavardė6                     4    6    2    4    2    1    
Vardas7                       Pavardė7                     10   10   6    6    1    7    
Vardas8                       Pavardė8                     7    6    10   9    9    1    
Vardas9                       Pavardė9                     6    2    8    2    6    6    
Vardas10                      Pavardė10                    8    4    5    5    3    7    
Vardas11                      Pavardė11                    1    9    3    10   4    10   
Vardas12                      Pavardė12                    7    1    10   1    2    2    
Vardas13                      Pavardė13                    10   6    6    4    2    8    
Vardas14                      Pavardė14                    6    3    7    4    3    5    
Vardas15                      Pavardė15                    5    10   10   7    9    7    
Vardas16                      Pavardė16                    7    6    6    3    8    6    
Vardas17                      Pavardė17                    10   7    2    7    5    6    
Vardas18                      Pavardė18                    3    1    5    5    7    10   
Vardas19                      Pavardė19                    7    1    7    6    2    9    
Vardas20                      Pavardė20                    10   3    9    8    4    4    
Vardas21                      Pavardė21                    5    6    8    3    4    9    
Vardas22                      Pavardė22                    3    3    8    10   10   8    
Vardas23                      Pavardė23                    1    5    6    4    2    5    
Vardas24                      Pavardė24                    5    1    7    5    4    8    
Vardas25                      Pavardė25                    3    3    1    9    10   8    
Vardas26                      Pavardė26                    9    4    5    5    1    8    
Vardas27                      Pavardė27                    1    8    6    3    2    9    
Vardas28                      Pavardė28                    3    3    10   5    7    5    
Vardas29                      Pavardė29                    1    3    1    5    6    2    
Vardas30                      Pavardė30                    8    3    10   7    7    3    
Vardas31                      Pavardė31                    2    1    5    8    4    4    
Vardas32                      Pavardė32                    5    7    3    1    7    7    
Vardas33                      Pavardė33                    3    8    10   2    4    8    
Vardas34                      Pavardė34                    3    8    1    1    5    10   
Vardas35                      Pavardė35                    10   1    1    10   10   1    
Vardas36                      Pavardė36                    7    6    9    2    4    7    
Vardas37                      Pavardė37                    4    2    9    6    1    10   
Vardas38                      Pavardė38                    6    5    8    8    5    5    
Vardas39                      Pavardė39                    3    3    6    10   8    5    
Vardas40                      Pavardė40                    9    3    3    9    8    9    
Vardas41                      Pavardė41                    8    2    9    8    2    1    
Vardas42                      Pavardė42                    3    8    10   5    6    8    
Vardas43                      Pavardė43                    3    2    6    2    5    7    
Vardas44                      Pavardė44                    7    1    2    7    5    4    
Vardas45                      Pavardė45                    10   2    3    6    2    3    
Vardas46                      Pavardė46                    2    3    4    2    2    9    
Vardas47                      Pavardė47                    10   6    7    6    1    2    
Vardas48                      Pavardė48                    7    2    10   9    1    7    
Vardas49                      Pavardė49                    1    1    7    1    9    10   
Vardas50                      Pavardė50                    4    8    1    7    7    4    
Vardas51                      Pavardė51                    3    1    6    9    9    8    
Vardas52                      Pavardė52                    7    6    7    8    8    7    
Vardas53                      Pavardė53                    4    8    9    2    7    4    
Vardas54                      Pavardė54                    4    6    5    5    4    7    
Vardas55                      Pavardė55                    10   3    8    1    5    5    
Vardas56                      Pavardė56                    4    1    2    8    6    10   
Vardas57                      Pavardė57                    9    7    2    4    9    2    
Vardas58                      Pavardė58                    8    5    9    10   3    1    
Vardas59                      Pavardė59                    1    6    8    3    8    3    
Vardas60                      Pavardė60                    7    10   2    7    3    6    
Vardas61                      Pavardė61                    3    5    7    10   10   2    
Vardas62                      Pavardė62                    4    7    7    9    1    2    
Vardas63                      Pavardė63                    5    5    6    6    10   9    
Vardas64                      Pavardė64                    8    2    5    2    1    7    
Vardas65                      Pavardė65                    10   9    3    5    6    6    
Vardas66                      Pavardė66                    6    2    3    1    6    3    
Vardas67                      Pavardė67                    7    2    10   10   7    7    
Vardas68                      Pavardė68                    3    7    2    4    1    6    
Vardas69                      Pavardė69                    1    6    10   3    6    5    
Vardas70                      Pavardė70                    4    6    7    6    1    2    
Vardas71                      Pavardė71                    5    5    8    7    5    4    
Vardas72                      Pavardė72                    8    9    8    4    8    1    
Vardas73                      Pavardė73                    2    9    10   3    8    3    
