Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  EGZ  
Vardas1                       Pavardė1                     2    9    7    4    3    4    
Vardas2                       Pavardė2                     10   4    1    3    3    7    
Vardas3                       Pavardė3                     3    7    3    4    8    6    
Vardas4                       Pavardė4                     2    3    8    8    2    6    
Vardas5                       Pavardė5                     6    10   10   5    1    9    
Vardas6                       Pavardė6                     1    5    8    5    10   4    
Vardas7                       Pavardė7                     5    8    6    5    1    10   
Vardas8                       Pavardė8                     6    7    8    10   9    4    
Vardas9                       Pavardė9                     5    6    3    3    8    8    
Vardas10                      Pavardė10                    9    3    2    4    6    5    
Vardas11                      Pavardė11                    2    2    10   4    1    8    
Vardas12                      Pavardė12                    7    8    4    6    6    3    
Vardas13                      Pavardė13                    10   1    4    9    3    10   
Vardas14                      Pavardė14                    7    10   10   10   6    10   
Vardas15                      Pavardė15                    4    2    4    3    4    9    
Vardas16                      Pavardė16                    8    10   5    6    3    7    
Vardas17                      Pavardė17                    8    10   9    1    6    7    
Vardas18                      Pavardė18                    8    9    5    1    8    4    
Vardas19                      Pavardė19                    9    7    7    3    5    10   
Vardas20                      Pavardė20                    8    8    3    6    7    5    
Vardas21                      Pavardė21                    6    2    6    7    8    5    
Vardas22                      Pavardė22                    3    6    1    6    2    1    
Vardas23                      Pavardė23                    1    9    8    5    8    8    
Vardas24                      Pavardė24                    5    8    2    1    1    9    
Vardas25                      Pavardė25                    6    10   5    8    1    2    
Vardas26                      Pavardė26                    4    5    7    1    7    1    
Vardas27                      Pavardė27                    8    9    8    5    1    5    
Vardas28                      Pavardė28                    6    6    2    4    4    3    
Vardas29                      Pavardė29                    2    2    3    10   7    5    
Vardas30                      Pavardė30                    4    2    3    8    5    10   
Vardas31                      Pavardė31                    6    5    2    2    6    8    
Vardas32                      Pavardė32                    4    7    9    8    4    8    
Vardas33                      Pavardė33                    2    1    4    5    8    5    
Vardas34                      Pavardė34                    7    3    7    8    9    6    
Vardas35                      Pavardė35                    8    7    5    3    9    2    
Vardas36                      Pavardė36                    1    8    1    4    5    9    
Vardas37                      Pavardė37                    3    6    7    4    5    5    
Vardas38                      Pavardė38                    4    6    7    6    2    10   
Vardas39                      Pavardė39                    1    10   4    10   9    7    
Vardas40                      Pavardė40                    1    5    4    2    2    4    
Vardas41                      Pavardė41                    9    4    1    2    5    5    
Vardas42                      Pavardė42                    4    1    7    8    4    4    
Vardas43                      Pavardė43                    3    10   5    8    5    1    
Vardas44                      Pavardė44                    8    4    8    5    8    4    
Vardas45                      Pavardė45                    9    3    5    6    5    2    
Vardas46                      Pavardė46                    4    1    8    8    4    2    
Vardas47                      Pavardė47                    9    10   2    2    2    3    
Vardas48                      Pavardė48                    9    9    6    7    2    7    
Vardas49                      Pavardė49                    3    3    1    3    7    5    
Vardas50                      Pavardė50                    10   1    9    6    3    9    
Vardas51                      Pavardė51                    7    7    8    4    2    5    
Vardas52                      Pavardė52                    5    6    2    7    6    5    
Vardas53                      Pavardė53                    6    9    9    7    2    3    
Vardas54                      Pavardė54                    10   9    3    8    3    2    
Vardas55                      Pavardė55                    2    1    5    7    6    7    
Vardas56                      Pavardė56                    3    4    1    6    3    3    
Vardas57                      Pavardė57                    7    6    3    1    7    3    
Vardas58                      Pavardė58                    4    9    7    7    6    10   
Vardas59                      Pavardė59                    3    7    4    8    10   3    
Vardas60                      Pavardė60                    8    1    4    3    6    9    
Vardas61                      Pavardė61                    7    5    8    6    2    4    
Vardas62                      Pavardė62                    5    10   3    8    6    7    
Vardas63                      Pavardė63                    6    6    2    9    6    6    
Vardas64                      Pavardė64                    7    1    3    2    2    7    
Vardas65                      Pavardė65                    7    1    3    6    8    6    
Vardas66                      Pavardė66                    9    5    6    8    9    6    
Vardas67                      Pavardė67                    6    5    2    10   10   1    
Vardas68                      Pavardė68                    1    7    9    7    6    7    
Vardas69                      Pavardė69                    2    5    2    4    6    10   
Vardas70                      Pavardė70                    10   9    4    5    2    2    
Vardas71                      Pavardė71                    5    3    8    7    6    7    
Vardas72                      Pavardė72                    10   5    7    4    4    7    
Vardas73                      Pavardė73                    2    9    5    5    4    6    
Vardas74                      Pavardė74                    9    7    9    4    6    9    
Vardas75                      Pavardė75                    7    4    9    2    1    5    
Vardas76                      Pavardė76                    3    3    1    10   5    10   
Vardas77                      Pavardė77                    5    3    6    4    6    1    
Vardas78                      Pavardė78                    6    6    9    4    7    2    
Vardas79                      Pavardė79                    7    2    4    8    7    6    
Vardas80                      Pavardė80                    2    8    9    8    4    3    
Vardas81                      Pavardė81                    2    8    2    7    2    3    
Vardas82                      Pavardė82                    3    9    2    1    5    1    
Vardas83                      Pavardė83                    3    8    3    4    2    10   
Vardas84                      Pavardė84                    10   8    7    10   8    6    
Vardas85                      Pavardė85                    4    5    10   2    9    3    
Vardas86                      Pavardė86                    8    9    5    6    7    5    
Vardas87                      Pavardė87                    9    6    1    9    6    10   
Vardas88                      Pavardė88                    7    2    3    10   6    8    
Vardas89                      Pavardė89                    1    5    5    6    4    7    
Vardas90                      Pavardė90                    9    4    5    7    10   2    
Vardas91                      Pavardė91                    3    2    4    2    9    2    
Vardas92                      Pavardė92                    2    7    3    5    8    10   
Vardas93                      Pavardė93                    9    1    5    4    7    6    
Vardas94                      Pavardė94                    3    5    9    5    10   3    
Vardas95                      Pavardė95                    5    4    8    1    1    4    
Vardas96                      Pavardė96                    8    6    8    10   10   7    
Vardas97                      Pavardė97                    10   5    8    6    7    2    
Vardas98                      Pavardė98                    6    1    2    10   6    3    
Vardas99                      Pavardė99                    4    4    5    1    6    7    
Vardas100                     Pavardė100                   7    7    1    3    4    8    
Vardas101                     Pavardė101                   1    7    9    7    1    3    
Vardas102                     Pavardė102                   9    6    4    8    8    1    
Vardas103                     Pavardė103                   1    3    3    4    2    3    
Vardas104                     Pavardė104                   4    4    5    4    10   7    
Vardas105                     Pavardė105                   9    2    1    4    1    8    
Vardas106                     Pavardė106                   9    10   6    10   6    1    
Vardas107                     Pavardė107                   4    4    4    3    6    2    
Vardas108                     Pavardė108                   6    10   4    10   10   10   
Vardas109                     Pavardė109                   5    5    10   9    8    5    
Vardas110                     Pavardė110                   9    2    5    5    4    3    
Vardas111                     Pavardė111                   5    2    7    8    8    8    
Vardas112                     Pavardė112                   1    10   3    5    6    2    
Vardas113                     Pavardė113                   3    5    1    1    9    5    
Vardas114                     Pavardė114                   9    7    6    6    5    7    
Vardas115                     Pavardė115                   3    2    7    3    2    5    
Vardas116                     Pavardė116                   10   3    9    4    8    1    
Vardas117                     Pavardė117                   3    9    1    2    9    10   
Vardas118                     Pavardė118                   9    10   10   3    1    6    
Vardas119                     Pavardė119                   5    6    9    3    10   1    
Vardas120                     Pavardė120                   10   9    3    10   8    8    
Vardas121                     Pavardė121                   8    5    8    8    3    4    
Vardas122                     Pavardė122                   9    8    7    1    3    3    
Vardas123                     Pavardė123                   8    7    7    8    10   6    
Vardas124                     Pavardė124                   8    5    7    5    1    1    
Vardas125                     Pavardė125                   2    9    4    9    3    9    
Vardas126                     Pavardė126                   10   1    2    4    7    8    
Vardas127                     Pavardė127                   5    2    10   10   2    8    
Vardas128                     Pavardė128                   4    1    9    8    2    7    
Vardas129                     Pavardė129                   10   1    4    3    5    9    
Vardas130                     Pavardė130                   10   6    5    4    1    4    
Vardas131                     Pavardė131                   6    3    3    4    10   3    
Vardas132                     Pavardė132                   10   8    2    2    10   5    
Vardas133                     Pavardė133                   5    7    6    3    2    6    
Vardas134                     Pavardė134                   3    8    7    3    10   2    
Vardas135                     Pavardė135                   3    2    5    8    7    4    
Vardas136                     Pavardė136                   4    3    3    7    9    3    
Vardas137                     Pavardė137                   3    2    10   8    8    1    
Vardas138                     Pavardė138                   2    1    10   3    9    7    
Vardas139                     Pavardė139                   8    4    10   2    9    10   
Vardas140                     Pavardė140                   9    3    6    8    3    10   
Vardas141                     Pavardė141                   8    2    5    8    4    10   
Vardas142                     Pavardė142                   9    3    10   6    7    10   
Vardas143                     Pavardė143                   8    9    7    2    8    7    
Vardas144                     Pavardė144                   9    1    4    8    5    8    
Vardas145                     Pavardė145                   4    7    5    3    10   1    
Vardas146                     Pavardė146                   5    5    2    8    10   5    
Vardas147                     Pavardė147                   4    7    8    4    8    8    
Vardas148                     Pavardė148                   5    7    9    9    8    3    
Vardas149                     Pavardė149                   8    10   3    6    9    2    
Vardas150                     Pavardė150                   6    1    10   4    5    3    
Vardas151                     Pavardė151                   1    7    6    5    8    7    
Vardas152                     Pavardė152                   1    3    7    9    3    5    
Vardas153                     Pavardė153                   7    1    8    5    10   3    
Vardas154                     Pavardė154                   10   7    8    8    8    3    
Vardas155                     Pavardė155                   4    9    8    7    9    7    
Vardas156                     Pavardė156                   8    1    10   6    1    3    
Vardas157                     Pavardė157                   2    6    6    8    3    1    
Vardas158                     Pavardė158                   4    4    9    4    6    1    
Vardas159                     Pavardė159                   7    8    7    3    7    5    
Vardas160                     Pavardė160                   8    2    7    7    8    6    
Vardas161                     Pavardė161                   9    10   10   5    8    4    
Vardas162                     Pavardė162                   8    1    8    1    9    2    
Vardas163                     Pavardė163                   9    1    9    5    8    10   
Vardas164                     Pavardė164                   10   6    3    3    4    5    
Vardas165                     Pavardė165                   10   7    5    4    2    4    
Vardas166                     Pavardė166                   9    9    9    3    2    3    
Vardas167                     Pavardė167                   2    6    4    4    1    3    
Vardas168                     Pavardė168                   6    5    8    9    3    7    
Vardas169                     Pavardė169                   10   6    5    8    5    7    
Vardas170                     Pavardė170                   1    10   3    8    4    9    
Vardas171                     Pavardė171                   4    9    7    6    4    5    
Vardas172                     Pavardė172                   2    3    8    3    6    6    
Vardas173                     Pavardė173                   7    6    9    9    5    10   
Vardas174                     Pavardė174                   2    5    8    9    1    7    
Vardas175                     Pavardė175                   8    8    9    7    7    6    
Vardas176                     Pavardė176                   1    8    9    7    10   3    
Vardas177                     Pavardė177                   2    7    10   5    2    3    
Vardas178                     Pavardė178                   2    8    8    2    5    9    
Vardas179                     Pavardė179                   10   5    5    1    3    8    
Vardas180                     Pavardė180                   8    8    2    6    8    9    
Vardas181                     Pavardė181                   7    4    5    7    6    2    
Vardas182                     Pavardė182                   6    2    1    9    10   5    
Vardas183                     Pavardė183                   8    9    7    4    3    6    
Vardas184                     Pavardė184                   2    3    8    9    5    4    
Vardas185                     Pavardė185                   3    8    5    3    2    2    
Vardas186                     Pavardė186                   9    5    5    9    7    6    
Vardas187                     Pavardė187                   8    7    6    4    4    7    
Vardas188                     Pavardė188                   10   10   1    10   8    8    
Vardas189                     Pavardė189                   10   6    6    5    5    8    
Vardas190                     Pavardė190                   9    8    10   3    4    10   
Vardas191                     Pavardė191                   5    1    2    3    3    8    
Vardas192                     Pavardė192                   9    1    3    8    3    10   
Vardas193                     Pavardė193                   2    3    2    4    2    8    
Vardas194                     Pavardė194                   2    10   5    6    9    3    
Vardas195                     Pavardė195                   1    10   7    2    7    10   
Vardas196                     Pavardė196                   1    10   8    7    4    6    
Vardas197                     Pavardė197                   10   2    8    10   2    7    
Vardas198                     Pavardė198                   5    9    5    3    9    3    
Vardas199                     Pavardė199                   1    6    6    8    9    10   
Vardas200                     Pavardė200                   2    1    9    6    9    9    
Vardas201                     Pavardė201                   4    1    9    5    10   5    
Vardas202                     Pavardė202                   4    1    2    1    8    10   
Vardas203                     Pavardė203                   6    1    8    2    8    1    
Vardas204                     Pavardė204                   2    8    10   2    1    3    
Vardas205                     Pavardė205                   2    10   9    6    8    10   
Vardas206                     Pavardė206                   3    7    6    4    7    7    
Vardas207                     Pavardė207                   7    6    7    6    8    5    
Vardas208                     Pavardė208                   2    10   10   2    9    6    
